info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:47:38.506Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:47:38.512Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:49:47.941Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:49:47.954Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:50:28.457Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:50:28.468Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:51:03.357Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:51:03.366Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:51:13.962Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:51:13.972Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:53:40.067Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:53:40.077Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:56:46.911Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:56:46.921Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:10:25.815Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:10:25.822Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:10:53.403Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:10:53.407Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:10:58.307Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:10:58.311Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:11:09.774Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:11:09.777Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:11:13.693Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:11:13.700Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:11:21.559Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:11:21.568Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:11:49.254Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:11:49.260Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:12:49.591Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:12:49.598Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:14:04.879Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:14:04.904Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:14:48.505Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:14:48.517Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:15:31.430Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:15:31.436Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:16:03.257Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:16:03.263Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:16:12.458Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:16:12.462Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:16:18.048Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:16:18.053Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:16:24.486Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:16:24.491Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:16:28.402Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:16:28.406Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:17:14.047Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:17:14.053Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:17:25.489Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:17:25.494Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:18:34.879Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:18:34.885Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:19:56.832Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:19:56.837Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:20:11.480Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:20:11.485Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T17:21:21.046Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T17:21:21.059Z"}
